id,user_id,first_name,last_name,email,phone,hire_date,status,department_id,job_id,manager_id
emp-demo-youssef,,Youssef,Benali,youssef.benali@pulse.ma,804-233-2181,2026-05-12,actif,dep-2,job-13,emp-demo-fatima
emp-demo-fatima,,Fatima,Alaoui,fatima.alaoui@pulse.ma,833-589-0838,2025-11-03,actif,dep-2,job-8,emp-demo-sara
emp-demo-karim,,Karim,Tazi,karim.tazi@pulse.ma,0140265423,2024-09-02,actif,dep-1,job-2,emp-demo-sara
emp-demo-sara,,Sara,Bennani,sara.bennani@pulse.ma,+33 (0)2 35 61 55 94,2023-04-10,actif,dep-6,job-31,
emp-demo-admin,,Admin,Technique,admin.tech@pulse.ma,001-278-516-1849x5931,2024-01-15,actif,dep-2,job-14,emp-demo-sara
emp-1,,Amine,Lahlou,aminelahlou.1fab63@pulse.com,+33 (0)3 73 16 47 52,2022-03-13,actif,dep-2,job-10,emp-demo-fatima
emp-2,,Bilal,Chraibi,bilalchraibi.b9ec0b@pulse.com,0361419283,2021-08-05,actif,dep-2,job-29,emp-demo-fatima
emp-3,,Nada,Cherkaoui,nadacherkaoui.c35c82@pulse.com,364.583.5030x564,2022-07-13,actif,dep-2,job-5,emp-demo-fatima
emp-4,,Tariq,Guessous,tariqguessous.bc7fc3@pulse.com,001-653-876-7242x388,2022-12-22,actif,dep-2,job-25,emp-demo-fatima
emp-5,,Hanane,Bennani,hananebennani.72b874@pulse.com,(353)828-7101x2269,2023-04-28,actif,dep-2,job-33,emp-demo-fatima
emp-6,,Hanane,Mansouri,hananemansouri.52ca4a@pulse.com,03 85 80 18 45,2023-07-19,actif,dep-2,job-1,emp-demo-fatima
emp-7,,Driss,Lahlou,drisslahlou.1a5a91@pulse.com,562-470-4828x1489,2023-12-28,actif,dep-1,job-6,emp-demo-sara
emp-8,,Rachid,Chraibi,rachidchraibi.325dc7@pulse.com,+33 1 30 95 70 15,2026-01-24,actif,dep-5,job-28,emp-demo-sara
emp-9,,Nizar,Bouazza,nizarbouazza.a4dc45@pulse.com,+33 1 80 39 11 71,2021-09-02,actif,dep-2,job-8,emp-demo-sara
emp-10,,Mehdi,Guessous,mehdiguessous.8b7b14@pulse.com,001-822-778-2489x63834,2022-12-22,actif,dep-1,job-4,
emp-11,,Oussama,Tahiri,oussamatahiri.8d2432@pulse.com,02 51 33 15 09,2025-03-04,actif,dep-3,job-18,
emp-12,,Mehdi,Cherkaoui,mehdicherkaoui.32fabc@pulse.com,793.301.0310,2024-05-29,actif,dep-6,job-31,
emp-13,,Khaoula,Lahlou,khaoulalahlou.291719@pulse.com,547.938.2997,2025-04-03,actif,dep-6,job-31,
emp-14,,Youssef,Guessous,youssefguessous.22c7cf@pulse.com,+33 2 36 16 56 67,2023-08-31,actif,dep-1,job-3,
emp-15,,Zineb,Mansouri,zinebmansouri.15d508@pulse.com,9104651333,2023-08-20,inactif,dep-2,job-14,
emp-16,,Karim,Lahlou,karimlahlou.96675e@pulse.com,+33 4 30 73 17 81,2025-08-04,actif,dep-2,job-10,
emp-17,,Zineb,El Malki,zinebelmalki.54b177@pulse.com,+1-880-213-2677x3602,2023-06-12,actif,dep-5,job-29,
emp-18,,Saad,Bouzid,saadbouzid.b8c60d@pulse.com,0631468723,2022-01-11,actif,dep-1,job-1,
emp-19,,Laila,El Malki,lailaelmalki.6cb5a4@pulse.com,+33 1 80 98 05 00,2023-07-29,actif,dep-5,job-26,
emp-20,,Saad,Lahlou,saadlahlou.253baf@pulse.com,388.520.8121x9136,2025-03-25,actif,dep-5,job-26,
emp-21,,Bilal,Lahlou,bilallahlou.a804e2@pulse.com,+1-509-616-9985x435,2023-01-23,actif,dep-3,job-17,emp-17
emp-22,,Anas,El Amrani,anaselamrani.7b6e71@pulse.com,+33 4 57 75 10 79,2024-12-02,actif,dep-5,job-26,emp-2
emp-23,,Driss,El Fassi,drisselfassi.61da11@pulse.com,518-738-4251,2024-06-09,suspendu,dep-3,job-18,emp-1
emp-24,,Amine,Cherkaoui,aminecherkaoui.2a596f@pulse.com,+33 5 87 84 98 08,2022-01-16,suspendu,dep-4,job-21,emp-7
emp-25,,Omar,Guessous,omarguessous.68b1ed@pulse.com,+33 (0)2 58 41 18 24,2021-11-09,actif,dep-2,job-16,emp-demo-karim
emp-26,,Mehdi,Zerouali,mehdizerouali.39ea96@pulse.com,+33 4 84 34 87 40,2024-06-30,actif,dep-2,job-14,emp-1
emp-27,,Driss,El Malki,drisselmalki.427e1d@pulse.com,+1-264-300-5242x7868,2025-05-31,actif,dep-5,job-27,emp-3
emp-28,,Nizar,Daoudi,nizardaoudi.86cf5d@pulse.com,001-728-205-9826x204,2022-10-21,actif,dep-4,job-21,emp-13
emp-29,,Zineb,Zerouali,zinebzerouali.93cb21@pulse.com,+33 3 84 15 86 92,2021-06-15,actif,dep-5,job-27,emp-4
emp-30,,Walid,Chraibi,walidchraibi.aa7ade@pulse.com,(426)302-5634,2024-04-18,actif,dep-3,job-17,emp-demo-karim
emp-31,,Ayoub,Zerouali,ayoubzerouali.21fb8f@pulse.com,+33 (0)6 43 37 54 33,2022-10-11,actif,dep-6,job-33,emp-1
emp-32,,Ayoub,Berrada,ayoubberrada.5afaa8@pulse.com,+1-636-454-1458x68501,2023-05-27,actif,dep-6,job-33,emp-demo-admin
emp-33,,Youssef,Berrada,youssefberrada.9e515a@pulse.com,501-696-5569x816,2025-11-26,inactif,dep-4,job-23,emp-demo-karim
emp-34,,Hajar,Zerouali,hajarzerouali.424f16@pulse.com,001-360-688-3561x595,2022-06-11,actif,dep-2,job-13,emp-11
emp-35,,Rim,Chraibi,rimchraibi.af983e@pulse.com,665-864-8236x6299,2021-09-12,actif,dep-5,job-26,emp-11
emp-36,,Amine,Chraibi,aminechraibi.81d1a7@pulse.com,9449369957,2024-02-20,actif,dep-2,job-13,emp-4
emp-37,,Youssef,Bennani,youssefbennani.9eb6e0@pulse.com,387.521.4895,2022-11-26,suspendu,dep-1,job-4,emp-9
emp-38,,Omar,El Malki,omarelmalki.a0813e@pulse.com,533-820-0379x1769,2022-04-14,actif,dep-6,job-33,emp-19
emp-39,,Fatima,Bouazza,fatimabouazza.2e60c7@pulse.com,03 81 20 16 32,2025-08-10,actif,dep-5,job-26,emp-20
emp-40,,Kenza,El Amrani,kenzaelamrani.494d71@pulse.com,870.983.1727x88957,2024-04-06,actif,dep-2,job-7,emp-13
emp-41,,Zineb,Chraibi,zinebchraibi.f5dccc@pulse.com,001-577-643-4873x4714,2022-02-01,suspendu,dep-2,job-13,emp-18
emp-42,,Zakaria,Cherkaoui,zakariacherkaoui.4e70aa@pulse.com,0229223623,2023-10-07,actif,dep-5,job-26,emp-demo-karim
emp-43,,Ilias,Lahlou,iliaslahlou.15a2d9@pulse.com,(965)287-6036x69096,2022-10-02,actif,dep-6,job-32,emp-3
emp-44,,Laila,El Idrissi,lailaelidrissi.9b7fe7@pulse.com,0534688937,2021-06-20,actif,dep-3,job-17,emp-11
emp-45,,Hamza,Chraibi,hamzachraibi.eea009@pulse.com,267-806-5627x298,2022-11-26,actif,dep-2,job-15,emp-14
emp-46,,Salma,Guessous,salmaguessous.ac1391@pulse.com,001-801-762-7204,2023-11-15,inactif,dep-3,job-18,emp-8
emp-47,,Driss,El Amrani,drisselamrani.0efe8b@pulse.com,755.564.6417x080,2025-02-18,actif,dep-6,job-32,emp-demo-fatima
emp-48,,Anas,Berrada,anasberrada.a3a78a@pulse.com,400-933-0923,2022-12-10,actif,dep-6,job-31,emp-demo-admin
emp-49,,Sara,El Fassi,saraelfassi.bddce7@pulse.com,393-474-5299,2024-04-01,actif,dep-6,job-32,emp-18
emp-50,,Youssef,Chraibi,youssefchraibi.c5865b@pulse.com,+33 (0)1 53 49 66 31,2021-08-30,actif,dep-4,job-23,emp-17
emp-51,,Anas,Bennani,anasbennani.381b13@pulse.com,001-331-749-1905x865,2025-05-16,actif,dep-4,job-25,emp-20
