id,user_id,first_name,last_name,email,phone,hire_date,status,department_id,job_id,manager_id
emp-demo-youssef,,Youssef,Benali,youssef.benali@pulse.ma,804-233-2181,2026-05-12,actif,dep-2,job-13,emp-demo-fatima
emp-demo-fatima,,Fatima,Alaoui,fatima.alaoui@pulse.ma,833-589-0838,2025-11-03,actif,dep-2,job-8,emp-demo-sara
emp-demo-karim,,Karim,Tazi,karim.tazi@pulse.ma,0140265423,2024-09-02,actif,dep-1,job-2,emp-demo-sara
emp-demo-admin,,Admin,Technique,admin.tech@pulse.ma,001-278-516-1849x5931,2024-01-15,actif,dep-2,job-14,emp-demo-sara
emp-1,,Amine,Lahlou,aminelahlou.d3cf2d@pulse.com,+33 (0)3 73 16 47 52,2022-03-13,actif,dep-2,job-10,emp-demo-fatima
emp-2,,Bilal,Chraibi,bilalchraibi.f07dfb@pulse.com,0361419283,2021-08-05,actif,dep-2,job-29,emp-demo-fatima
emp-3,,Nada,Cherkaoui,nadacherkaoui.9dd0c2@pulse.com,364.583.5030x564,2022-07-13,actif,dep-2,job-5,emp-demo-fatima
emp-4,,Tariq,Guessous,tariqguessous.68269c@pulse.com,001-653-876-7242x388,2022-12-22,actif,dep-2,job-25,emp-demo-fatima
emp-5,,Hanane,Bennani,hananebennani.455914@pulse.com,(353)828-7101x2269,2023-04-28,actif,dep-2,job-33,emp-demo-fatima
emp-6,,Hanane,Mansouri,hananemansouri.feab30@pulse.com,03 85 80 18 45,2023-07-19,actif,dep-2,job-1,emp-demo-fatima
emp-7,,Driss,Lahlou,drisslahlou.2cbcfc@pulse.com,562-470-4828x1489,2023-12-28,actif,dep-1,job-6,emp-demo-sara
emp-8,,Rachid,Chraibi,rachidchraibi.6edd4c@pulse.com,+33 1 30 95 70 15,2026-01-24,actif,dep-5,job-28,emp-demo-sara
emp-9,,Nizar,Bouazza,nizarbouazza.6b7c86@pulse.com,+33 1 80 39 11 71,2021-09-02,actif,dep-2,job-8,emp-demo-sara
emp-21,,Bilal,Lahlou,bilallahlou.d01913@pulse.com,+1-509-616-9985x435,2023-01-23,actif,dep-3,job-17,emp-17
emp-22,,Anas,El Amrani,anaselamrani.2dda98@pulse.com,+33 4 57 75 10 79,2024-12-02,actif,dep-5,job-26,emp-2
emp-23,,Driss,El Fassi,drisselfassi.7afb60@pulse.com,518-738-4251,2024-06-09,suspendu,dep-3,job-18,emp-1
emp-24,,Amine,Cherkaoui,aminecherkaoui.50c323@pulse.com,+33 5 87 84 98 08,2022-01-16,suspendu,dep-4,job-21,emp-7
emp-25,,Omar,Guessous,omarguessous.ebbfe5@pulse.com,+33 (0)2 58 41 18 24,2021-11-09,actif,dep-2,job-16,emp-demo-karim
emp-26,,Mehdi,Zerouali,mehdizerouali.8b2a5e@pulse.com,+33 4 84 34 87 40,2024-06-30,actif,dep-2,job-14,emp-1
emp-27,,Driss,El Malki,drisselmalki.58adbe@pulse.com,+1-264-300-5242x7868,2025-05-31,actif,dep-5,job-27,emp-3
emp-28,,Nizar,Daoudi,nizardaoudi.85e7a9@pulse.com,001-728-205-9826x204,2022-10-21,actif,dep-4,job-21,emp-13
emp-29,,Zineb,Zerouali,zinebzerouali.c6dd1f@pulse.com,+33 3 84 15 86 92,2021-06-15,actif,dep-5,job-27,emp-4
emp-30,,Walid,Chraibi,walidchraibi.48c098@pulse.com,(426)302-5634,2024-04-18,actif,dep-3,job-17,emp-demo-karim
emp-31,,Ayoub,Zerouali,ayoubzerouali.9e62d7@pulse.com,+33 (0)6 43 37 54 33,2022-10-11,actif,dep-6,job-33,emp-1
emp-32,,Ayoub,Berrada,ayoubberrada.0f3f43@pulse.com,+1-636-454-1458x68501,2023-05-27,actif,dep-6,job-33,emp-demo-admin
emp-33,,Youssef,Berrada,youssefberrada.4b4ef5@pulse.com,501-696-5569x816,2025-11-26,inactif,dep-4,job-23,emp-demo-karim
emp-34,,Hajar,Zerouali,hajarzerouali.366dc0@pulse.com,001-360-688-3561x595,2022-06-11,actif,dep-2,job-13,emp-11
emp-35,,Rim,Chraibi,rimchraibi.88d6f5@pulse.com,665-864-8236x6299,2021-09-12,actif,dep-5,job-26,emp-11
emp-36,,Amine,Chraibi,aminechraibi.2a05c6@pulse.com,9449369957,2024-02-20,actif,dep-2,job-13,emp-4
emp-37,,Youssef,Bennani,youssefbennani.e043a6@pulse.com,387.521.4895,2022-11-26,suspendu,dep-1,job-4,emp-9
emp-38,,Omar,El Malki,omarelmalki.f65c8e@pulse.com,533-820-0379x1769,2022-04-14,actif,dep-6,job-33,emp-19
emp-39,,Fatima,Bouazza,fatimabouazza.978f26@pulse.com,03 81 20 16 32,2025-08-10,actif,dep-5,job-26,emp-20
emp-40,,Kenza,El Amrani,kenzaelamrani.5993c2@pulse.com,870.983.1727x88957,2024-04-06,actif,dep-2,job-7,emp-13
emp-41,,Zineb,Chraibi,zinebchraibi.940f2d@pulse.com,001-577-643-4873x4714,2022-02-01,suspendu,dep-2,job-13,emp-18
emp-42,,Zakaria,Cherkaoui,zakariacherkaoui.aecf31@pulse.com,0229223623,2023-10-07,actif,dep-5,job-26,emp-demo-karim
emp-43,,Ilias,Lahlou,iliaslahlou.421384@pulse.com,(965)287-6036x69096,2022-10-02,actif,dep-6,job-32,emp-3
emp-44,,Laila,El Idrissi,lailaelidrissi.792ee2@pulse.com,0534688937,2021-06-20,actif,dep-3,job-17,emp-11
emp-45,,Hamza,Chraibi,hamzachraibi.bdc054@pulse.com,267-806-5627x298,2022-11-26,actif,dep-2,job-15,emp-14
emp-46,,Salma,Guessous,salmaguessous.04f508@pulse.com,001-801-762-7204,2023-11-15,inactif,dep-3,job-18,emp-8
emp-47,,Driss,El Amrani,drisselamrani.4e018c@pulse.com,755.564.6417x080,2025-02-18,actif,dep-6,job-32,emp-demo-fatima
emp-48,,Anas,Berrada,anasberrada.e6ab9d@pulse.com,400-933-0923,2022-12-10,actif,dep-6,job-31,emp-demo-admin
emp-49,,Sara,El Fassi,saraelfassi.54b558@pulse.com,393-474-5299,2024-04-01,actif,dep-6,job-32,emp-18
emp-50,,Youssef,Chraibi,youssefchraibi.c20c3b@pulse.com,+33 (0)1 53 49 66 31,2021-08-30,actif,dep-4,job-23,emp-17
emp-51,,Anas,Bennani,anasbennani.e63487@pulse.com,001-331-749-1905x865,2025-05-16,actif,dep-4,job-25,emp-20
emp-52,,Salma,Tazi,salmatazi.6de08b@pulse.com,(971)865-7262x84987,2024-09-05,actif,dep-1,job-3,emp-14
emp-53,,Fatima,El Idrissi,fatimaelidrissi.6af252@pulse.com,001-845-731-4737,2022-08-05,actif,dep-1,job-3,emp-8
emp-54,,Nizar,Zerouali,nizarzerouali.cf25ca@pulse.com,552.373.5454x9480,2022-09-28,inactif,dep-5,job-27,emp-10
emp-55,,Oussama,El Malki,oussamaelmalki.fe54b8@pulse.com,001-567-683-7770x1436,2025-10-20,suspendu,dep-2,job-12,emp-demo-fatima
emp-56,,Walid,Lahlou,walidlahlou.4673fb@pulse.com,001-757-988-5685,2023-07-24,inactif,dep-6,job-30,emp-2
emp-57,,Walid,El Fassi,walidelfassi.81e9dc@pulse.com,0385313518,2026-01-06,actif,dep-3,job-19,emp-11
emp-58,,Fatima,El Fassi,fatimaelfassi.7e0ec4@pulse.com,(333)574-9894,2021-10-21,suspendu,dep-3,job-19,emp-9
emp-59,,Laila,El Amrani,lailaelamrani.663761@pulse.com,+33 4 93 24 08 24,2021-07-27,actif,dep-6,job-32,emp-9
emp-60,,Oussama,Bouazza,oussamabouazza.cb56c7@pulse.com,9849271094,2024-10-04,actif,dep-1,job-1,emp-5
emp-61,,Ilias,El Malki,iliaselmalki.327478@pulse.com,0339047116,2023-07-29,inactif,dep-5,job-26,emp-16
emp-62,,Fatima,El Malki,fatimaelmalki.5c7db0@pulse.com,+33 (0)1 78 22 94 13,2023-06-16,actif,dep-5,job-27,emp-demo-fatima
